Pixel,Thickness (nm),
34.000000,33.942001,
44.000000,33.942001,
65.000000,67.884003,
66.000000,48.001236,
67.000000,33.942001,
68.000000,48.001236,
69.000000,67.884003,
95.000000,33.942001,
108.000000,33.942001,
109.000000,48.001236,
124.000000,33.942001,
135.000000,33.942001,
136.000000,48.001236,
206.000000,67.884003,
207.000000,48.001236,
208.000000,33.942001,
209.000000,33.942001,
237.000000,33.942001,
238.000000,48.001236,
276.000000,67.884003,
277.000000,67.884003,
278.000000,67.884003,
318.000000,67.884003,
319.000000,48.001236,
320.000000,33.942001,
321.000000,33.942001,
322.000000,48.001236,
335.000000,48.001236,
336.000000,33.942001,
339.000000,33.942001,
340.000000,33.942001,
341.000000,48.001236,
353.000000,48.001236,
354.000000,33.942001,
355.000000,33.942001,
356.000000,48.001236,
366.000000,48.001236,
367.000000,33.942001,
368.000000,33.942001,
371.000000,33.942001,
372.000000,33.942001,
373.000000,48.001236,
374.000000,67.884003,
385.000000,48.001236,
386.000000,33.942001,
387.000000,33.942001,
390.000000,33.942001,
391.000000,33.942001,
392.000000,48.001236,
425.000000,67.884003,
426.000000,67.884003,
445.000000,33.942001,
451.000000,33.942001,
472.000000,48.001236,
473.000000,33.942001,
476.000000,33.942001,
477.000000,33.942001,
478.000000,48.001236,
516.000000,33.942001,
523.000000,33.942001,
524.000000,48.001236,
588.000000,33.942001,
589.000000,48.001236,
621.000000,33.942001,
625.000000,33.942001,
626.000000,33.942001,
627.000000,48.001236,
664.000000,67.884003,
665.000000,48.001236,
666.000000,33.942001,
667.000000,48.001236,
698.000000,48.001236,
699.000000,33.942001,
700.000000,33.942001,
701.000000,48.001236,
707.000000,48.001236,
708.000000,33.942001,
709.000000,33.942001,
710.000000,48.001236,
732.000000,67.884003,
733.000000,48.001236,
734.000000,33.942001,
735.000000,33.942001,
738.000000,33.942001,
757.000000,67.884003,
758.000000,48.001236,
759.000000,33.942001,
760.000000,33.942001,
767.000000,33.942001,
768.000000,33.942001,
769.000000,48.001236,
796.000000,67.884003,
797.000000,48.001236,
798.000000,33.942001,
799.000000,48.001236,
800.000000,67.884003,
831.000000,48.001236,
832.000000,33.942001,
833.000000,33.942001,
834.000000,48.001236,
851.000000,33.942001,
858.000000,33.942001,
859.000000,48.001236,
893.000000,33.942001,
903.000000,33.942001,
904.000000,48.001236,
920.000000,48.001236,
921.000000,33.942001,
922.000000,48.001236,
933.000000,33.942001,
938.000000,33.942001,
939.000000,48.001236,
943.000000,33.942001,
945.000000,33.942001,
946.000000,33.942001,
947.000000,48.001236,
961.000000,33.942001,
964.000000,33.942001,
965.000000,33.942001,
966.000000,48.001236,
967.000000,67.884003,
985.000000,33.942001,
989.000000,33.942001,
990.000000,33.942001,
991.000000,48.001236,
1017.000000,48.001236,
1018.000000,33.942001,
1021.000000,33.942001,
1022.000000,48.001236,
1057.000000,33.942001,
1069.000000,33.942001,
1080.000000,96.002472,
1081.000000,75.896622,
1082.000000,67.884003,
1083.000000,75.896622,
1087.000000,75.896622,
1088.000000,48.001236,
1094.000000,48.001236,
1095.000000,75.896622,
1102.000000,101.825996,
1103.000000,101.825996,
1104.000000,101.825996,
1118.000000,33.942001,
1134.000000,48.001236,
1135.000000,75.896622,
1147.000000,33.942001,
1161.000000,48.001236,
1162.000000,75.896622,
1199.000000,101.825996,
1200.000000,96.002472,
1201.000000,75.896622,
1202.000000,67.884003,
1203.000000,67.884003,
1204.000000,67.884003,
1205.000000,67.884003,
1206.000000,75.896622,
1226.000000,101.825996,
1227.000000,96.002472,
1228.000000,75.896622,
1229.000000,48.001236,
1263.000000,67.884003,
1279.000000,101.825996,
1280.000000,101.825996,
1281.000000,101.825996,
1297.000000,75.896622,
1298.000000,67.884003,
1299.000000,48.001236,
1303.000000,48.001236,
1340.000000,75.896622,
1341.000000,48.001236,
1347.000000,48.001236,
1348.000000,75.896622,
1358.000000,48.001236,
1366.000000,48.001236,
1367.000000,75.896622,
1376.000000,48.001236,
1381.000000,67.884003,
1389.000000,48.001236,
1399.000000,48.001236,
1400.000000,75.896622,
1408.000000,48.001236,
1417.000000,67.884003,
1446.000000,75.896622,
1447.000000,67.884003,
1448.000000,48.001236,
1451.000000,48.001236,
1452.000000,75.896622,
1468.000000,33.942001,
1476.000000,33.942001,
1490.000000,75.896622,
1491.000000,67.884003,
1492.000000,67.884003,
1493.000000,75.896622,
1494.000000,75.896622,
1495.000000,48.001236,
1503.000000,48.001236,
1504.000000,75.896622,
1539.000000,33.942001,
1549.000000,48.001236,
1578.000000,75.896622,
1579.000000,67.884003,
1580.000000,67.884003,
1581.000000,75.896622,
1614.000000,48.001236,
1644.000000,33.942001,
1652.000000,48.001236,
1653.000000,75.896622,
1685.000000,96.002472,
1686.000000,75.896622,
1687.000000,48.001236,
1692.000000,48.001236,
1693.000000,75.896622,
1699.000000,101.825996,
1700.000000,101.825996,
1701.000000,101.825996,
1702.000000,101.825996,
1720.000000,75.896622,
1721.000000,48.001236,
1726.000000,48.001236,
1730.000000,48.001236,
1735.000000,48.001236,
1736.000000,75.896622,
1754.000000,75.896622,
1755.000000,48.001236,
1763.000000,33.942001,
1775.000000,101.825996,
1776.000000,101.825996,
1777.000000,101.825996,
1778.000000,96.002472,
1779.000000,75.896622,
1780.000000,48.001236,
1794.000000,67.884003,
1817.000000,96.002472,
1818.000000,75.896622,
1819.000000,48.001236,
1825.000000,48.001236,
1826.000000,75.896622,
1853.000000,75.896622,
1854.000000,48.001236,
1859.000000,48.001236,
1860.000000,75.896622,
1874.000000,33.942001,
1884.000000,48.001236,
1885.000000,75.896622,
1893.000000,75.896622,
1894.000000,67.884003,
1895.000000,67.884003,
1896.000000,67.884003,
1897.000000,75.896622,
1916.000000,33.942001,
1929.000000,67.884003,
1943.000000,48.001236,
1947.000000,48.001236,
1948.000000,75.896622,
1956.000000,33.942001,
1964.000000,67.884003,
1966.000000,33.942001,
1972.000000,48.001236,
1973.000000,75.896622,
1984.000000,33.942001,
1992.000000,48.001236,
1993.000000,75.896622,
2008.000000,33.942001,
2016.000000,67.884003,
2040.000000,48.001236,
2047.000000,48.001236,
2058.000000,107.334030,
2059.000000,96.002472,
2060.000000,75.896622,
2061.000000,67.884003,
2062.000000,75.896622,
2063.000000,96.002472,
2080.000000,75.896622,
2101.000000,107.334030,
2102.000000,96.002472,
2103.000000,75.896622,
2108.000000,75.896622,
2110.000000,75.896622,
2120.000000,75.896622,
2121.000000,96.002472,
2122.000000,122.379623,
2123.000000,107.334030,
2124.000000,96.002472,
2125.000000,75.896622,
2129.000000,75.896622,
2130.000000,96.002472,
2141.000000,67.884003,
2160.000000,96.002472,
2170.000000,67.884003,
2187.000000,96.002472,
2221.000000,96.002472,
2222.000000,75.896622,
2231.000000,75.896622,
2232.000000,107.334030,
2247.000000,107.334030,
2248.000000,96.002472,
2249.000000,75.896622,
2288.000000,101.825996,
2300.000000,107.334030,
2301.000000,96.002472,
2302.000000,75.896622,
2306.000000,75.896622,
2307.000000,96.002472,
2320.000000,75.896622,
2328.000000,67.884003,
2340.000000,122.379623,
2341.000000,107.334030,
2342.000000,101.825996,
2343.000000,107.334030,
2362.000000,96.002472,
2363.000000,75.896622,
2373.000000,101.825996,
2381.000000,67.884003,
2392.000000,96.002472,
2398.000000,96.002472,
2399.000000,67.884003,
2406.000000,101.825996,
2412.000000,67.884003,
2425.000000,75.896622,
2426.000000,96.002472,
2431.000000,67.884003,
2442.000000,75.896622,
2443.000000,107.334030,
2468.000000,96.002472,
2469.000000,75.896622,
2477.000000,75.896622,
2485.000000,135.768005,
2486.000000,135.768005,
2491.000000,75.896622,
2501.000000,75.896622,
2512.000000,96.002472,
2513.000000,75.896622,
2529.000000,75.896622,
2530.000000,107.334030,
2562.000000,67.884003,
2574.000000,67.884003,
2601.000000,75.896622,
2606.000000,75.896622,
2607.000000,96.002472,
2639.000000,67.884003,
2647.000000,135.768005,
2648.000000,135.768005,
2649.000000,135.768005,
2662.000000,135.768005,
2663.000000,135.768005,
2667.000000,67.884003,
2678.000000,96.002472,
2688.000000,96.002472,
2689.000000,75.896622,
2690.000000,67.884003,
2691.000000,75.896622,
2692.000000,96.002472,
2693.000000,107.334030,
2707.000000,96.002472,
2708.000000,75.896622,
2719.000000,122.379623,
2720.000000,107.334030,
2721.000000,96.002472,
2722.000000,75.896622,
2727.000000,75.896622,
2728.000000,96.002472,
2742.000000,96.002472,
2743.000000,75.896622,
2752.000000,96.002472,
2753.000000,67.884003,
2761.000000,101.825996,
2777.000000,75.896622,
2788.000000,75.896622,
2796.000000,107.334030,
2797.000000,96.002472,
2798.000000,75.896622,
2819.000000,75.896622,
2820.000000,96.002472,
2839.000000,96.002472,
2840.000000,75.896622,
2851.000000,75.896622,
2852.000000,96.002472,
2876.000000,75.896622,
2885.000000,96.002472,
2897.000000,75.896622,
2910.000000,96.002472,
2915.000000,96.002472,
2916.000000,75.896622,
2922.000000,75.896622,
2923.000000,96.002472,
2926.000000,135.768005,
2927.000000,135.768005,
2928.000000,135.768005,
2929.000000,135.768005,
2939.000000,75.896622,
2954.000000,101.825996,
2966.000000,67.884003,
2973.000000,96.002472,
2979.000000,67.884003,
2998.000000,75.896622,
2999.000000,96.002472,
3007.000000,67.884003,
3018.000000,75.896622,
3019.000000,107.334030,
3027.000000,135.768005,
3028.000000,135.768005,
3031.000000,75.896622,
3041.000000,75.896622,
3042.000000,107.334030,
3062.000000,96.002472,
3063.000000,67.884003,
3072.000000,67.884003,
3080.000000,122.379623,
3081.000000,96.002472,
3088.000000,96.002472,
3089.000000,122.379623,
3103.000000,122.379623,
3123.000000,122.379623,
3124.000000,96.002472,
3155.000000,96.002472,
3156.000000,122.379623,
3162.000000,139.946442,
3163.000000,135.768005,
3185.000000,107.334030,
3186.000000,139.946442,
3193.000000,101.825996,
3212.000000,107.334030,
3213.000000,139.946442,
3243.000000,122.379623,
3244.000000,96.002472,
3257.000000,135.768005,
3269.000000,122.379623,
3270.000000,96.002472,
3312.000000,107.334030,
3322.000000,122.379623,
3323.000000,96.002472,
3332.000000,107.334030,
3333.000000,139.946442,
3342.000000,122.379623,
3343.000000,96.002472,
3354.000000,135.768005,
3355.000000,139.946442,
3362.000000,122.379623,
3363.000000,107.334030,
3368.000000,96.002472,
3369.000000,122.379623,
3383.000000,139.946442,
3384.000000,122.379623,
3385.000000,96.002472,
3398.000000,122.379623,
3404.000000,107.334030,
3417.000000,107.334030,
3418.000000,139.946442,
3421.000000,107.334030,
3431.000000,135.768005,
3435.000000,101.825996,
3451.000000,96.002472,
3452.000000,122.379623,
3454.000000,107.334030,
3468.000000,122.379623,
3490.000000,122.379623,
3491.000000,96.002472,
3502.000000,101.825996,
3507.000000,122.379623,
3508.000000,107.334030,
3511.000000,107.334030,
3512.000000,122.379623,
3526.000000,122.379623,
3535.000000,107.334030,
3555.000000,122.379623,
3577.000000,169.710007,
3578.000000,169.710007,
3579.000000,169.710007,
3585.000000,107.334030,
3599.000000,107.334030,
3623.000000,135.768005,
3624.000000,101.825996,
3632.000000,107.334030,
3633.000000,139.946442,
3665.000000,101.825996,
3666.000000,107.334030,
3667.000000,122.379623,
3668.000000,135.768005,
3669.000000,122.379623,
