Pixel,Thickness (nm),
573.000000,67.884003,
574.000000,67.884003,
575.000000,67.884003,
655.000000,33.942001,
781.000000,33.942001,
944.000000,33.942001,
1059.000000,48.001236,
1060.000000,75.896622,
1171.000000,48.001236,
1172.000000,48.001236,
1173.000000,33.942001,
1208.000000,33.942001,
1210.000000,48.001236,
1211.000000,75.896622,
1212.000000,48.001236,
1260.000000,48.001236,
1352.000000,33.942001,
1438.000000,33.942001,
1470.000000,48.001236,
1471.000000,75.896622,
1473.000000,75.896622,
1600.000000,48.001236,
1601.000000,75.896622,
1678.000000,33.942001,
1680.000000,48.001236,
1760.000000,48.001236,
1806.000000,33.942001,
1876.000000,48.001236,
1877.000000,75.896622,
1918.000000,48.001236,
1919.000000,75.896622,
1926.000000,48.001236,
1945.000000,33.942001,
1968.000000,48.001236,
1987.000000,48.001236,
2010.000000,48.001236,
2011.000000,75.896622,
2050.000000,48.001236,
2085.000000,96.002472,
2089.000000,96.002472,
2145.000000,75.896622,
2146.000000,107.334030,
2231.000000,33.942001,
2233.000000,48.001236,
2282.000000,96.002472,
2283.000000,75.896622,
2326.000000,33.942001,
2376.000000,33.942001,
2385.000000,75.896622,
2386.000000,75.896622,
2402.000000,48.001236,
2434.000000,48.001236,
2435.000000,67.884003,
2436.000000,75.896622,
2446.000000,48.001236,
2461.000000,33.942001,
2496.000000,75.896622,
2566.000000,75.896622,
2567.000000,107.334030,
2626.000000,75.896622,
2627.000000,96.002472,
2671.000000,75.896622,
2672.000000,75.896622,
2714.000000,48.001236,
2747.000000,48.001236,
2757.000000,48.001236,
2765.000000,33.942001,
2766.000000,33.942001,
2784.000000,67.884003,
2902.000000,101.825996,
2944.000000,96.002472,
2945.000000,122.379623,
2946.000000,107.334030,
2947.000000,101.825996,
2948.000000,96.002472,
2949.000000,75.896622,
2969.000000,48.001236,
2983.000000,75.896622,
2993.000000,67.884003,
3011.000000,75.896622,
3036.000000,75.896622,
3068.000000,75.896622,
3074.000000,75.896622,
3110.000000,107.334030,
3111.000000,122.379623,
3112.000000,96.002472,
3139.000000,75.896622,
3171.000000,122.379623,
3303.000000,139.946442,
3304.000000,122.379623,
3305.000000,96.002472,
3348.000000,48.001236,
3349.000000,33.942001,
3392.000000,75.896622,
3400.000000,33.942001,
3411.000000,96.002472,
3426.000000,67.884003,
3442.000000,107.334030,
3461.000000,107.334030,
3471.000000,48.001236,
3472.000000,33.942001,
3497.000000,48.001236,
3546.000000,96.002472,
3592.000000,122.379623,
3628.000000,33.942001,
3652.000000,96.002472,
3653.000000,122.379623,
3657.000000,122.379623,
3697.000000,96.002472,
3737.000000,67.884003,
3771.000000,67.884003,
3781.000000,67.884003,
3791.000000,33.942001,
3806.000000,75.896622,
3807.000000,75.896622,
3904.000000,75.896622,
3927.000000,122.379623,
3993.000000,67.884003,
4008.000000,96.002472,
4018.000000,75.896622,
4036.000000,75.896622,
4037.000000,75.896622,
4061.000000,75.896622,
4092.000000,96.002472,
4098.000000,67.884003,
4163.000000,107.334030,
4196.000000,122.379623,
4197.000000,144.003708,
4200.000000,182.783264,
4201.000000,169.710007,
4202.000000,139.946442,
4203.000000,107.334030,
4224.000000,139.946442,
4225.000000,173.070923,
4274.000000,48.001236,
4275.000000,67.884003,
4324.000000,169.710007,
4325.000000,144.003708,
4326.000000,122.379623,
4371.000000,67.884003,
4416.000000,101.825996,
4435.000000,107.334030,
4450.000000,67.884003,
4466.000000,139.946442,
4485.000000,107.334030,
4520.000000,67.884003,
4563.000000,48.001236,
4564.000000,48.001236,
4568.000000,75.896622,
4569.000000,96.002472,
4571.000000,122.379623,
4616.000000,107.334030,
4652.000000,48.001236,
4678.000000,139.946442,
4680.000000,122.379623,
4722.000000,75.896622,
4738.000000,33.942001,
4760.000000,75.896622,
4794.000000,75.896622,
4804.000000,75.896622,
4815.000000,48.001236,
4829.000000,96.002472,
4894.000000,107.334030,
4916.000000,33.942001,
4917.000000,33.942001,
4929.000000,75.896622,
4952.000000,139.946442,
5018.000000,48.001236,
5032.000000,75.896622,
5042.000000,96.002472,
5062.000000,96.002472,
5085.000000,96.002472,
5102.000000,33.942001,
5115.000000,107.334030,
5122.000000,67.884003,
5133.000000,48.001236,
5187.000000,135.768005,
5222.000000,144.003708,
5223.000000,169.710007,
5250.000000,197.914169,
5295.000000,48.001236,
5296.000000,67.884003,
5297.000000,48.001236,
5300.000000,48.001236,
5336.000000,182.783264,
5337.000000,173.070923,
5338.000000,169.710007,
5339.000000,173.070923,
5340.000000,182.783264,
5341.000000,197.914169,
5344.000000,214.668060,
5345.000000,197.914169,
5346.000000,182.783264,
5347.000000,169.710007,
5395.000000,67.884003,
5440.000000,107.334030,
5460.000000,96.002472,
5474.000000,67.884003,
5491.000000,151.793243,
5510.000000,107.334030,
5543.000000,75.896622,
5589.000000,67.884003,
5591.000000,75.896622,
5596.000000,122.379623,
5640.000000,96.002472,
5676.000000,67.884003,
5746.000000,96.002472,
5762.000000,48.001236,
5783.000000,75.896622,
5817.000000,75.896622,
5828.000000,96.002472,
5840.000000,33.942001,
5852.000000,75.896622,
5881.000000,169.710007,
5882.000000,182.783264,
5883.000000,197.914169,
5916.000000,96.002472,
5917.000000,122.379623,
5919.000000,122.379623,
5953.000000,75.896622,
5977.000000,122.379623,
6042.000000,67.884003,
6057.000000,67.884003,
6066.000000,107.334030,
6087.000000,75.896622,
6110.000000,75.896622,
6111.000000,48.001236,
6125.000000,48.001236,
6140.000000,107.334030,
6146.000000,67.884003,
6157.000000,67.884003,
6212.000000,144.003708,
6213.000000,122.379623,
6214.000000,96.002472,
6215.000000,75.896622,
6222.000000,75.896622,
6223.000000,96.002472,
6318.000000,48.001236,
6325.000000,48.001236,
6344.000000,48.001236,
6345.000000,67.884003,
6346.000000,75.896622,
6358.000000,192.004944,
6359.000000,169.710007,
6366.000000,192.004944,
6367.000000,197.914169,
6419.000000,67.884003,
6438.000000,48.001236,
6484.000000,107.334030,
6498.000000,67.884003,
6535.000000,96.002472,
6552.000000,33.942001,
6566.000000,75.896622,
6582.000000,33.942001,
6614.000000,75.896622,
6621.000000,122.379623,
6663.000000,101.825996,
6700.000000,75.896622,
6727.000000,107.334030,
6771.000000,75.896622,
6787.000000,67.884003,
6806.000000,75.896622,
6841.000000,75.896622,
6864.000000,48.001236,
6876.000000,75.896622,
6904.000000,182.783264,
6908.000000,182.783264,
6909.000000,192.004944,
6939.000000,107.334030,
6944.000000,107.334030,
6978.000000,75.896622,
7001.000000,135.768005,
7015.000000,122.379623,
7016.000000,96.002472,
7017.000000,75.896622,
7066.000000,67.884003,
7081.000000,67.884003,
7091.000000,107.334030,
7092.000000,75.896622,
7111.000000,75.896622,
7170.000000,67.884003,
7179.000000,75.896622,
7180.000000,75.896622,
7224.000000,96.002472,
7227.000000,75.896622,
7240.000000,75.896622,
7241.000000,67.884003,
7244.000000,75.896622,
7245.000000,96.002472,
7298.000000,173.070923,
7301.000000,182.783264,
7350.000000,33.942001,
7371.000000,107.334030,
7372.000000,122.379623,
7373.000000,139.946442,
7374.000000,151.793243,
7375.000000,169.710007,
7376.000000,192.004944,
7378.000000,227.689850,
7380.000000,217.334839,
7381.000000,192.004944,
7423.000000,107.334030,
7443.000000,48.001236,
7462.000000,67.884003,
7509.000000,96.002472,
7522.000000,48.001236,
7560.000000,96.002472,
7576.000000,48.001236,
7589.000000,75.896622,
7606.000000,48.001236,
7646.000000,107.334030,
7687.000000,75.896622,
7724.000000,96.002472,
7751.000000,101.825996,
7783.000000,48.001236,
7795.000000,96.002472,
7811.000000,75.896622,
7829.000000,67.884003,
7843.000000,107.334030,
7844.000000,122.379623,
7864.000000,75.896622,
7888.000000,48.001236,
7927.000000,169.710007,
7934.000000,192.004944,
7961.000000,96.002472,
7962.000000,96.002472,
7969.000000,96.002472,
8003.000000,67.884003,
8025.000000,122.379623,
8042.000000,75.896622,
8048.000000,67.884003,
8049.000000,48.001236,
8089.000000,67.884003,
8105.000000,67.884003,
8194.000000,67.884003,
8201.000000,48.001236,
8202.000000,75.896622,
8237.000000,48.001236,
8248.000000,75.896622,
8252.000000,75.896622,
8257.000000,122.379623,
8258.000000,144.003708,
8266.000000,75.896622,
8267.000000,96.002472,
8284.000000,48.001236,
8322.000000,169.710007,
8326.000000,169.710007,
8374.000000,48.001236,
8401.000000,197.914169,
8403.000000,227.689850,
8447.000000,122.379623,
8468.000000,48.001236,
8469.000000,33.942001,
8485.000000,96.002472,
8510.000000,169.710007,
8512.000000,144.003708,
8513.000000,122.379623,
8514.000000,96.002472,
8533.000000,101.825996,
8563.000000,151.793243,
8585.000000,96.002472,
8600.000000,33.942001,
8612.000000,75.896622,
8630.000000,48.001236,
8670.000000,122.379623,
8748.000000,107.334030,
8775.000000,107.334030,
8807.000000,75.896622,
8820.000000,75.896622,
8835.000000,96.002472,
8853.000000,48.001236,
8865.000000,107.334030,
8866.000000,122.379623,
8869.000000,139.946442,
8888.000000,75.896622,
8901.000000,67.884003,
8943.000000,139.946442,
8944.000000,151.793243,
8948.000000,173.070923,
8949.000000,182.783264,
8959.000000,182.783264,
8984.000000,96.002472,
8994.000000,96.002472,
9027.000000,48.001236,
9049.000000,96.002472,
9067.000000,75.896622,
9070.000000,75.896622,
9071.000000,75.896622,
9074.000000,48.001236,
9075.000000,67.884003,
9113.000000,67.884003,
9130.000000,48.001236,
9224.000000,48.001236,
9261.000000,75.896622,
9277.000000,96.002472,
9280.000000,122.379623,
9308.000000,75.896622,
9345.000000,135.768005,
9351.000000,151.793243,
9398.000000,48.001236,
9470.000000,139.946442,
9494.000000,33.942001,
9495.000000,48.001236,
9496.000000,67.884003,
9509.000000,96.002472,
9533.000000,169.710007,
9539.000000,67.884003,
9540.000000,48.001236,
9558.000000,75.896622,
9586.000000,122.379623,
9609.000000,122.379623,
9635.000000,75.896622,
9655.000000,48.001236,
9695.000000,107.334030,
9771.000000,122.379623,
9800.000000,96.002472,
9808.000000,96.002472,
9809.000000,101.825996,
9810.000000,101.825996,
9817.000000,107.334030,
9831.000000,75.896622,
9843.000000,96.002472,
9859.000000,96.002472,
9887.000000,96.002472,
9888.000000,107.334030,
9894.000000,122.379623,
9911.000000,75.896622,
9925.000000,48.001236,
9969.000000,169.710007,
9970.000000,182.783264,
9971.000000,197.914169,
9974.000000,144.003708,
9984.000000,169.710007,
10008.000000,75.896622,
10019.000000,96.002472,
10074.000000,96.002472,
10100.000000,75.896622,
10136.000000,67.884003,
10154.000000,67.884003,
10196.000000,107.334030,
10227.000000,33.942001,
10246.000000,33.942001,
10247.000000,48.001236,
10285.000000,96.002472,
10302.000000,107.334030,
10303.000000,139.946442,
10332.000000,75.896622,
10369.000000,107.334030,
10376.000000,144.003708,
10423.000000,48.001236,
10492.000000,122.379623,
10493.000000,144.003708,
10521.000000,75.896622,
10533.000000,75.896622,
10557.000000,169.710007,
10565.000000,48.001236,
10582.000000,96.002472,
10610.000000,107.334030,
10634.000000,107.334030,
10658.000000,75.896622,
10680.000000,48.001236,
10718.000000,135.768005,
10745.000000,75.896622,
10795.000000,151.793243,
10825.000000,96.002472,
10831.000000,96.002472,
10835.000000,96.002472,
10836.000000,122.379623,
10839.000000,139.946442,
10840.000000,122.379623,
10856.000000,75.896622,
10867.000000,75.896622,
10875.000000,33.942001,
10876.000000,33.942001,
10883.000000,75.896622,
10910.000000,96.002472,
10919.000000,122.379623,
10935.000000,67.884003,
10998.000000,122.379623,
11008.000000,169.710007,
11044.000000,96.002472,
11099.000000,96.002472,
11117.000000,75.896622,
11125.000000,75.896622,
11126.000000,75.896622,
11160.000000,67.884003,
11220.000000,122.379623,
11251.000000,48.001236,
11269.000000,48.001236,
11310.000000,122.379623,
11357.000000,75.896622,
11392.000000,96.002472,
11401.000000,144.003708,
11515.000000,122.379623,
11545.000000,48.001236,
11558.000000,67.884003,
11580.000000,169.710007,
11590.000000,48.001236,
11607.000000,96.002472,
11658.000000,122.379623,
11681.000000,75.896622,
11704.000000,67.884003,
11742.000000,122.379623,
11767.000000,75.896622,
11768.000000,96.002472,
11818.000000,169.710007,
11850.000000,96.002472,
11851.000000,101.825996,
11853.000000,101.825996,
11854.000000,96.002472,
11880.000000,75.896622,
11933.000000,96.002472,
11944.000000,122.379623,
11959.000000,48.001236,
12022.000000,107.334030,
12033.000000,169.710007,
12069.000000,75.896622,
12123.000000,101.825996,
12141.000000,67.884003,
12151.000000,75.896622,
12183.000000,75.896622,
12221.000000,48.001236,
12245.000000,122.379623,
12264.000000,48.001236,
12276.000000,67.884003,
12334.000000,139.946442,
12381.000000,75.896622,
12415.000000,67.884003,
12426.000000,144.003708,
12427.000000,122.379623,
12428.000000,96.002472,
12429.000000,75.896622,
12430.000000,48.001236,
12537.000000,96.002472,
12538.000000,122.379623,
12569.000000,33.942001,
12582.000000,48.001236,
12604.000000,144.003708,
12615.000000,48.001236,
12631.000000,107.334030,
12647.000000,33.942001,
12682.000000,139.946442,
12703.000000,75.896622,
12704.000000,75.896622,
12729.000000,48.001236,
12765.000000,122.379623,
12842.000000,192.004944,
12876.000000,107.334030,
12886.000000,122.379623,
12905.000000,75.896622,
12956.000000,96.002472,
12969.000000,107.334030,
13046.000000,96.002472,
13058.000000,182.783264,
13093.000000,96.002472,
13147.000000,96.002472,
13165.000000,67.884003,
13175.000000,96.002472,
13206.000000,75.896622,
13245.000000,75.896622,
13270.000000,122.379623,
13288.000000,67.884003,
13301.000000,75.896622,
13359.000000,139.946442,
13439.000000,48.001236,
13455.000000,67.884003,
13474.000000,48.001236,
13560.000000,96.002472,
13593.000000,48.001236,
13628.000000,122.379623,
13639.000000,75.896622,
13656.000000,107.334030,
13672.000000,33.942001,
13707.000000,139.946442,
13726.000000,75.896622,
13753.000000,48.001236,
13788.000000,122.379623,
13866.000000,214.668060,
13885.000000,48.001236,
13910.000000,96.002472,
13930.000000,75.896622,
13980.000000,96.002472,
13993.000000,96.002472,
14070.000000,75.896622,
14082.000000,173.070923,
14095.000000,48.001236,
14117.000000,107.334030,
14171.000000,75.896622,
14188.000000,75.896622,
14200.000000,96.002472,
14229.000000,75.896622,
14270.000000,96.002472,
14294.000000,144.003708,
14311.000000,75.896622,
14325.000000,75.896622,
14384.000000,122.379623,
14480.000000,48.001236,
14498.000000,75.896622,
14583.000000,96.002472,
14618.000000,48.001236,
14639.000000,75.896622,
14640.000000,75.896622,
14664.000000,75.896622,
14665.000000,67.884003,
14666.000000,67.884003,
14667.000000,67.884003,
14681.000000,96.002472,
14732.000000,122.379623,
14749.000000,96.002472,
14811.000000,122.379623,
14890.000000,227.689850,
14908.000000,48.001236,
14933.000000,96.002472,
14954.000000,75.896622,
15003.000000,96.002472,
15017.000000,75.896622,
15080.000000,48.001236,
15107.000000,169.710007,
15119.000000,67.884003,
15141.000000,122.379623,
15213.000000,67.884003,
15225.000000,96.002472,
15252.000000,75.896622,
15264.000000,96.002472,
15295.000000,96.002472,
15319.000000,139.946442,
15334.000000,67.884003,
15350.000000,75.896622,
15409.000000,122.379623,
15523.000000,96.002472,
15606.000000,96.002472,
15627.000000,48.001236,
15642.000000,67.884003,
15665.000000,75.896622,
15686.000000,67.884003,
15692.000000,75.896622,
15706.000000,96.002472,
15756.000000,122.379623,
15773.000000,101.825996,
15834.000000,107.334030,
15915.000000,217.334839,
15916.000000,192.004944,
15917.000000,169.710007,
15957.000000,75.896622,
15979.000000,75.896622,
16026.000000,96.002472,
16041.000000,67.884003,
16086.000000,33.942001,
16104.000000,75.896622,
16131.000000,169.710007,
16143.000000,48.001236,
16165.000000,144.003708,
16183.000000,48.001236,
16191.000000,48.001236,
16238.000000,48.001236,
16239.000000,33.942001,
16249.000000,122.379623,
16276.000000,96.002472,
16288.000000,107.334030,
16320.000000,96.002472,
16343.000000,122.379623,
16357.000000,48.001236,
16374.000000,48.001236,
16433.000000,144.003708,
16548.000000,96.002472,
16629.000000,96.002472,
16651.000000,75.896622,
16667.000000,48.001236,
16689.000000,75.896622,
16709.000000,48.001236,
16717.000000,67.884003,
16730.000000,122.379623,
16781.000000,122.379623,
16797.000000,96.002472,
16936.000000,217.334839,
16937.000000,240.006180,
16942.000000,169.710007,
16980.000000,75.896622,
17003.000000,75.896622,
