Angle,Mean Objects Int (nm),Mean Holes Int (nm),Mean Objects Inv Int (1/nm),Mean Holes Inv Int (1/nm),Total Line Length (nm),Total Intersections
0.000000,362.690559,139.724176,0.004507,0.008768,8926678.116000,37097.000000
10.000000,359.923461,141.100002,0.004667,0.008774,11033050.752000,37379.000000
20.000000,363.684127,144.559384,0.004831,0.008731,12778195.653000,37088.000000
30.000000,369.679816,147.519346,0.004887,0.008703,13996238.265000,36703.000000
40.000000,371.062661,148.108014,0.004887,0.008741,14535797.268000,35783.000000
50.000000,371.678860,148.026252,0.004791,0.008627,14368921.425000,35023.000000
60.000000,370.936756,145.856813,0.004658,0.008610,13449924.804000,33937.000000
70.000000,368.342900,144.309499,0.004564,0.008581,11892767.670000,32430.000000
80.000000,370.009352,143.570790,0.004454,0.008556,9825088.914000,31345.000000
90.000000,381.671616,146.545022,0.004386,0.008434,7435029.042000,29413.000000
100.000000,382.359434,149.116298,0.004541,0.008376,9825088.914000,30877.000000
110.000000,393.729956,152.696910,0.004679,0.008321,11892767.670000,31955.000000
120.000000,401.230824,155.188020,0.004770,0.008320,13449924.804000,33266.000000
130.000000,396.338105,154.065479,0.004791,0.008396,14368921.425000,34097.000000
140.000000,388.175893,149.843653,0.004636,0.008443,14535797.268000,34685.000000
150.000000,375.356677,144.804391,0.004540,0.008539,13996238.265000,35698.000000
160.000000,364.603467,140.717274,0.004497,0.008655,12778195.653000,36484.000000
170.000000,359.995452,138.239204,0.004479,0.008768,11033050.752000,37189.000000
180.000000,362.740434,139.499569,0.004493,0.008777,8926678.116000,37110.000000
