Angle,Mean Objects Int (nm),Mean Holes Int (nm),Mean Objects Inv Int (1/nm),Mean Holes Inv Int (1/nm),Total Line Length (nm),Total Intersections
0.000000,374.861934,65.638873,0.006366,0.021329,3566314.400000,16054.000000
10.000000,358.753468,63.980434,0.006570,0.021559,4409249.200000,16873.000000
20.000000,352.817036,63.177744,0.006539,0.021475,5104950.400000,16929.000000
30.000000,351.663902,60.943290,0.006247,0.021772,5592483.200000,17025.000000
40.000000,347.328439,60.223386,0.006202,0.021757,5821085.600000,16760.000000
50.000000,350.660589,60.852001,0.006002,0.021592,5742083.200000,16261.000000
60.000000,356.523364,61.638359,0.005919,0.021535,5382662.400000,15608.000000
70.000000,364.051194,64.778042,0.006033,0.021228,4758844.000000,14728.000000
80.000000,371.579990,68.109517,0.006356,0.021278,3921913.600000,13481.000000
90.000000,385.126411,71.040069,0.006174,0.021001,2973286.400000,12450.000000
100.000000,377.624979,69.674713,0.006220,0.020836,3921913.600000,13536.000000
110.000000,376.102324,68.108267,0.006106,0.020646,4758844.000000,14470.000000
120.000000,371.848839,65.287662,0.005922,0.021134,5382662.400000,15186.000000
130.000000,362.706397,63.915894,0.005929,0.021403,5742083.200000,15742.000000
140.000000,360.795143,62.937595,0.005915,0.021541,5821085.600000,16182.000000
150.000000,360.874062,62.717878,0.005984,0.021650,5592483.200000,16386.000000
160.000000,361.211592,63.838131,0.006246,0.021420,5104950.400000,16414.000000
170.000000,362.713300,64.154514,0.006466,0.021630,4409249.200000,16557.000000
180.000000,375.353939,65.222723,0.006418,0.021458,3566314.400000,16100.000000
