Angle,Mean Objects Int (nm),Mean Holes Int (nm),Mean Objects Inv Int (1/nm),Mean Holes Inv Int (1/nm),Total Line Length (nm),Total Intersections
0.000000,64.851771,348.284143,0.021599,0.006669,3566314.400000,17400.000000
10.000000,63.376664,333.098863,0.021771,0.006892,4409249.200000,18236.000000
20.000000,62.553256,328.189739,0.021702,0.006842,5104950.400000,18277.000000
30.000000,60.295015,326.862061,0.022026,0.006550,5592483.200000,18326.000000
40.000000,59.535463,322.707406,0.022032,0.006492,5821085.600000,18046.000000
50.000000,60.154549,326.262138,0.021871,0.006274,5742083.200000,17505.000000
60.000000,61.027099,330.673888,0.021777,0.006208,5382662.400000,16843.000000
70.000000,64.064863,337.696822,0.021481,0.006315,4758844.000000,15904.000000
80.000000,67.365984,343.545789,0.021515,0.006637,3921913.600000,14633.000000
90.000000,70.182804,357.783368,0.021271,0.006488,2973286.400000,13543.000000
100.000000,68.827027,350.012360,0.021112,0.006529,3921913.600000,14744.000000
110.000000,67.383673,349.702228,0.020883,0.006388,4758844.000000,15642.000000
120.000000,64.530663,344.701498,0.021411,0.006220,5382662.400000,16407.000000
130.000000,63.320035,338.018809,0.021617,0.006232,5742083.200000,16996.000000
140.000000,62.241908,334.755007,0.021804,0.006234,5821085.600000,17469.000000
150.000000,62.043672,335.083009,0.021897,0.006283,5592483.200000,17671.000000
160.000000,63.124057,335.733837,0.021680,0.006532,5104950.400000,17757.000000
170.000000,63.427358,336.156630,0.021890,0.006751,4409249.200000,17940.000000
180.000000,64.478940,348.115601,0.021711,0.006703,3566314.400000,17449.000000
