Angle,Mean Objects Int (nm),Mean Holes Int (nm),Mean Objects Inv Int (1/nm),Mean Holes Inv Int (1/nm),Total Line Length (nm),Total Intersections
0.000000,87.273003,68.063233,0.016059,0.018976,3576772.800000,50664.000000
10.000000,87.474104,68.185458,0.016309,0.019144,4420761.600000,51184.000000
20.000000,89.045507,69.259285,0.016567,0.019146,5120012.400000,50776.000000
30.000000,90.690104,71.017465,0.016581,0.019080,5608062.000000,49837.000000
40.000000,91.135138,71.587693,0.016554,0.019057,5824254.400000,48936.000000
50.000000,90.841190,71.306860,0.016330,0.018823,5757390.000000,48057.000000
60.000000,89.817741,70.343566,0.016007,0.018803,5389163.200000,46804.000000
70.000000,88.785597,70.088526,0.015918,0.018645,4765236.000000,45039.000000
80.000000,88.436450,70.022495,0.015813,0.018604,3936751.200000,43297.000000
90.000000,90.130344,71.528102,0.015712,0.018423,2979093.600000,40957.000000
100.000000,90.935406,72.528204,0.015957,0.018399,3936751.200000,42980.000000
110.000000,93.207353,73.810939,0.016112,0.018466,4765236.000000,44560.000000
120.000000,95.576477,75.492770,0.016146,0.018342,5389163.200000,45905.000000
130.000000,94.727752,74.867739,0.016269,0.018437,5757390.000000,47334.000000
140.000000,92.516595,72.949303,0.016059,0.018407,5824254.400000,48248.000000
150.000000,90.144950,70.696646,0.015814,0.018509,5608062.000000,49136.000000
160.000000,87.818125,68.478893,0.015859,0.018765,5120012.400000,50217.000000
170.000000,86.683313,67.601754,0.015959,0.018911,4420761.600000,50880.000000
180.000000,87.228227,68.023082,0.016050,0.019013,3576772.800000,50737.000000
